TEAM_NO,TEAM,SEED,REGION,YEAR
1141,Auburn,1,East,2025
1145,Alabama St.,16,East,2025
1119,Louisville,8,East,2025
1134,Creighton,9,East,2025
1114,Michigan,5,East,2025
1089,UC San Diego,12,East,2025
1092,Texas A&M,4,East,2025
1080,Yale,13,East,2025
1112,Mississippi,6,East,2025
1104,North Carolina,11,East,2025
1124,Iowa St.,3,East,2025
1120,Lipscomb,14,East,2025
1118,Marquette,7,East,2025
1106,New Mexico,10,East,2025
1113,Michigan St.,2,East,2025
1139,Bryant,15,East,2025
1131,Florida,1,West,2025
1105,Norfolk St.,16,West,2025
1135,Connecticut,8,West,2025
1103,Oklahoma,9,West,2025
1115,Memphis,5,West,2025
1136,Colorado St.,12,West,2025
1117,Maryland,4,West,2025
1128,Grand Canyon,13,West,2025
1110,Missouri,6,West,2025
1133,Drake,11,West,2025
1091,Texas Tech,3,West,2025
1087,UNC Wilmington,14,West,2025
1123,Kansas,7,West,2025
1142,Arkansas,10,West,2025
1095,St. John's,2,West,2025
1107,Nebraska Omaha,15,West,2025
1132,Duke,1,South,2025
1108,Mount St. Mary's,16,South,2025
1111,Mississippi St.,8,South,2025
1140,Baylor,9,South,2025
1102,Oregon,5,South,2025
1121,Liberty,12,South,2025
1143,Arizona,4,South,2025
1147,Akron,13,South,2025
1138,BYU,6,South,2025
1084,VCU,11,South,2025
1083,Wisconsin,3,South,2025
1109,Montana,14,South,2025
1098,Saint Mary's,7,South,2025
1085,Vanderbilt,10,South,2025
1146,Alabama,2,South,2025
1100,Robert Morris,15,South,2025
1126,Houston,1,Midwest,2025
1096,SIU Edwardsville,16,Midwest,2025
1129,Gonzaga,8,Midwest,2025
1130,Georgia,9,Midwest,2025
1137,Clemson,5,Midwest,2025
1116,McNeese St.,12,Midwest,2025
1101,Purdue,4,Midwest,2025
1127,High Point,13,Midwest,2025
1125,Illinois,6,Midwest,2025
1081,Xavier,11,Midwest,2025
1122,Kentucky,3,Midwest,2025
1090,Troy,14,Midwest,2025
1088,UCLA,7,Midwest,2025
1086,Utah St.,10,Midwest,2025
1094,Tennessee,2,Midwest,2025
1082,Wofford,15,Midwest,2025
