TEAM,PLAYER,POSITION,RATING,INJURY_TYPE,GAMES_MISSED,SEVERITY
DUKE,C.Foster,G,4,Foot,10-Mar,Severe
DUKE,P.Ngongba,C,3,,10-Mar,Questionable
MICH,L.Cason,G,4,,27-Feb,Severe
TTU,L.Watts,F,4,,12-Mar,Minor
TTU,C.Anderson,G,5,Groin,12-Mar,Minor
GONZ,B.Huff,F,4,Knee,14-Jan,Severe
UNC,C.Wilson,F,5,Thumb,6-Mar,Severe
LOU,M.Brown,G,4,Back,12-Mar,Severe
BYU,R.Saunders,F,4,ACL,28-Feb,Severe
UCONN,J.Stewart,G,3,Knee,9-Mar,Questionable
CLEM,C.Welling,F,3,Knee,12-Mar,Moderate
NOVA,M.Hodge,F,4,Knee,2-Mar,Severe
ARK,K.Knox,F,3,Knee,31-Jan,Moderate
SMU,B.Edwards,G,4,Foot,8-Mar,Questionable
